Series ID,Date Reported,State (US),Carrier Type,Model Type,Reasons behind Tire Wear,Type Of Tire Wear,Max Load,Inflation Pressure,Overall Diameter
256,24-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
257,25-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
258,26-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
259,27-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
260,28-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
261,29-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
262,30-12-2017,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
263,31-12-2017,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
264,01-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
265,02-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
266,03-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
267,04-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
268,05-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
269,06-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
270,07-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
271,08-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
272,09-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
273,10-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
274,11-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
275,12-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
276,13-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,50''
277,14-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
278,15-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
279,16-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
280,17-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
281,18-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
282,19-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
283,20-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
284,21-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
285,22-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
286,23-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
287,24-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
288,25-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
289,26-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
290,27-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
291,28-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
292,29-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
293,30-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
294,31-01-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
295,01-02-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
296,02-02-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
297,03-02-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
298,04-02-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
299,05-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
300,06-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
301,07-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
302,08-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
303,09-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
304,10-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
305,11-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
306,12-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
307,13-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
308,14-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
309,15-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
310,16-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
311,17-02-2018,Ohio,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
312,18-02-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
313,19-02-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
314,20-02-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
315,21-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
316,22-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
317,23-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
318,24-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
319,25-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
320,26-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
321,27-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
322,28-02-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
323,01-03-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
324,02-03-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
325,03-03-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
326,04-03-2018,Nebraska,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
327,05-03-2018,Mississippi,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
328,06-03-2018,Mississippi,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
329,07-03-2018,Mississippi,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
330,08-03-2018,Mississippi,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
331,09-03-2018,Mississippi,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
332,10-03-2018,Mississippi,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
333,11-03-2018,Mississippi,Passenger,Y,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
334,12-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
335,13-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
336,14-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
337,15-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
338,16-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
339,17-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
340,18-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
341,19-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
342,20-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
343,21-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
344,22-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
345,23-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
346,24-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
347,25-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
348,26-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,60''
349,27-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
350,28-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
351,29-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
352,30-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
353,31-03-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
354,01-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
355,02-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
356,03-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
357,04-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
358,05-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
359,06-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
360,07-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
361,08-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
362,09-04-2018,Mississippi,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
363,10-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
364,11-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
365,12-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
366,13-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
367,14-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
368,15-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
369,16-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
370,17-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
371,18-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
372,19-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
373,20-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
374,21-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
375,22-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
376,23-04-2018,Texas,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
377,24-04-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
378,25-04-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
379,26-04-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
380,27-04-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
381,28-04-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
382,29-04-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
383,30-04-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
384,01-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
385,02-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
386,03-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
387,04-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
388,05-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,60''
389,06-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
390,07-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
391,08-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
392,09-05-2018,California,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
393,10-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
394,11-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
395,12-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
396,13-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
397,14-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
398,15-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
399,16-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
400,17-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
401,18-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
402,19-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
403,20-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
404,21-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
405,22-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
406,23-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
407,24-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
408,25-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
409,26-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
410,27-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
411,28-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
412,29-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
413,30-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
414,31-05-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
415,01-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
416,02-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
417,03-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
418,04-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
419,05-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
420,06-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
421,07-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
422,08-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
423,09-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
424,10-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"5,500 lbs ",50 psi,30''
425,11-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
426,12-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
427,13-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
428,14-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
429,15-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
430,16-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
431,17-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
432,18-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
433,19-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
434,20-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
435,21-06-2018,New York,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
436,22-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
437,23-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
438,24-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
439,25-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
440,26-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
441,27-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
442,28-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
443,29-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
444,30-06-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
445,01-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
446,02-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
447,03-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
448,04-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
449,05-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
450,06-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
451,07-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
452,08-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
453,09-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
454,10-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
455,11-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
456,12-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
457,13-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
458,14-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
459,15-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
460,16-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
461,17-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
462,18-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
463,19-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
464,20-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
465,21-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
466,22-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
467,23-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
468,24-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
469,25-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
470,26-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
471,27-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
472,28-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
473,29-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
474,30-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
475,31-07-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
476,01-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
477,02-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
478,03-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
479,04-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
480,05-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
481,06-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
482,07-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
483,08-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
484,09-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
485,10-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
486,11-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
487,12-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
488,13-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
489,14-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
490,15-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
491,16-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
492,17-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
493,18-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
494,19-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
495,20-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
496,21-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
497,22-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
498,23-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
499,24-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
500,25-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
501,26-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
502,27-08-2018,Nebraska,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
503,28-08-2018,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
504,29-08-2018,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
505,30-08-2018,New Hamsphire,Passenger,Z,Car out of alignment,Side Wear,"2,500 lbs ",50 psi,30''
506,31-08-2018,New Hamsphire,Passenger,Z,worn shock absorber,Cupping Wear,"2,500 lbs ",50 psi,30''
507,01-09-2018,New Hamsphire,Passenger,Z,worn shock absorber,Cupping Wear,"2,500 lbs ",50 psi,30''
508,02-09-2018,New Hamsphire,Passenger,Z,worn shock absorber,Cupping Wear,"2,500 lbs ",50 psi,30''
509,03-09-2018,New Hamsphire,Passenger,Z,worn shock absorber,Cupping Wear,"2,500 lbs ",50 psi,30''
510,04-09-2018,New Hamsphire,Passenger,Z,worn shock absorber,Cupping Wear,"2,500 lbs ",50 psi,30''
511,05-09-2018,New Hamsphire,Passenger,Z,worn shock absorber,Cupping Wear,"2,500 lbs ",50 psi,30''
